tweet_id,text,sexist,sexism_type,racist,dataset
839880162586071040,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839630746625142784,,True,benevolent,,JhaMamidi
839630739335495681,,True,benevolent,,JhaMamidi
839665182985097216,RT @girlsreallyrule: The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without. #adaywithoutwomen #Ligh…,True,benevolent,,JhaMamidi
839765815494795264,,True,benevolent,,JhaMamidi
839584192715337728,,True,benevolent,,JhaMamidi
839688595460014080,,True,benevolent,,JhaMamidi
839581330371407883,,True,benevolent,,JhaMamidi
839805807717937153,,True,benevolent,,JhaMamidi
839890972477575168,,True,benevolent,,JhaMamidi
839630815109619712,,True,benevolent,,JhaMamidi
839630801746739202,,True,benevolent,,JhaMamidi
839695799768379392,,True,benevolent,,JhaMamidi
839677985284202496,,True,benevolent,,JhaMamidi
839505603399680000,,True,benevolent,,JhaMamidi
839752088859062272,,True,benevolent,,JhaMamidi
839864236897681408,RT @antonioguterres: We can’t achieve any of our goals without the participation of women and girls. #WomensDay https://t.co/2oCVEQQFMR,True,benevolent,,JhaMamidi
839835034576044033,,True,benevolent,,JhaMamidi
839626647376658433,,True,benevolent,,JhaMamidi
847459084378939395,,True,benevolent,,JhaMamidi
847548528289296385,,True,benevolent,,JhaMamidi
839858252347228160,,True,benevolent,,JhaMamidi
846963288760029184,,True,benevolent,,JhaMamidi
847242635269951488,"""she parties like a man but loves like a woman""",True,benevolent,,JhaMamidi
839895080240545792,,True,benevolent,,JhaMamidi
839630808205910017,,True,benevolent,,JhaMamidi
839682676449755136,,True,benevolent,,JhaMamidi
839876116336820225,,True,benevolent,,JhaMamidi
839630721941716993,,True,benevolent,,JhaMamidi
839913712307830784,,True,benevolent,,JhaMamidi
839279430396592128,,True,benevolent,,JhaMamidi
839833757855145985,,True,benevolent,,JhaMamidi
839580741591695360,,True,benevolent,,JhaMamidi
839631765392211970,,True,benevolent,,JhaMamidi
839852464408928257,,True,benevolent,,JhaMamidi
839880709913346048,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
836945146318987264,"RT @xanria_018: Lucky is the man who is the first love of a woman, but luckier is the woman who is the last love of a man.
#ALDUBxDTBYLandas",True,benevolent,,JhaMamidi
837996432745377794,,True,benevolent,,JhaMamidi
839600878013333505,,True,benevolent,,JhaMamidi
839881159307730944,"RT @AdrianArellano0: It was such a nice day out today. Nice and quiet, the roads were clear...

Must've been #ADayWithoutWomen.",True,benevolent,,JhaMamidi
839933033436360707,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839621414630064128,,True,benevolent,,JhaMamidi
839902521829240832,,True,benevolent,,JhaMamidi
839845189191524353,,True,benevolent,,JhaMamidi
839630745228423168,,True,benevolent,,JhaMamidi
839615131755544576,,True,benevolent,,JhaMamidi
847510506650730496,,True,benevolent,,JhaMamidi
847365324047491078,i need a man who can act like a man bh pareil,True,benevolent,,JhaMamidi
839879777863479297,,True,benevolent,,JhaMamidi
839560543098834951,,True,benevolent,,JhaMamidi
839640337014386688,,True,benevolent,,JhaMamidi
839574841707618304,,True,benevolent,,JhaMamidi
839693985836855296,"RT @mikandynothem: My wife is going to work today beacause she is NO lazy liberal woman looking for a day off! 
#adaywithoutwomen #MAGA htt…",True,benevolent,,JhaMamidi
847097826475683840,"RT @janasays_: A lot of females try to think like a man to avoid getting hurt/played instead of just being a woman. Take a chance ,love aga…",True,benevolent,,JhaMamidi
839917033257062400,,True,benevolent,,JhaMamidi
839649397839441922,,True,benevolent,,JhaMamidi
840055825179762689,,True,benevolent,,JhaMamidi
839839205912096769,"RT @jgopikrishnan70: Helen Rowland : ""It takes a woman twenty years to make a man of her son, and another woman twenty minutes to make a fo…",True,benevolent,,JhaMamidi
839880185293975553,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839573247662292992,,True,benevolent,,JhaMamidi
839834789100179457,,True,benevolent,,JhaMamidi
839868260585623554,"RT @UN_Women: ""Why do we continue to undervalue fathers and overburden mothers?"" -Goodwill Ambassador Anne Hathaway on paid parental leave.…",True,benevolent,,JhaMamidi
839609381029359616,RT @girlsreallyrule: The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without. #adaywithoutwomen #Ligh…,True,benevolent,,JhaMamidi
839623664656138241,,True,benevolent,,JhaMamidi
839574348507709445,#women are a #force #internationalwomensday #adaywithoutwomen #womensmarch #equality #EqualityMatters… https://t.co/Dc6oixVXEu,True,benevolent,,JhaMamidi
839601967802511361,,True,benevolent,,JhaMamidi
839859019929919488,#BeAWoman &gt; than celebrating #womensday &amp; also don't compare yourself with others. Because you have the courage to tackle everything.,True,benevolent,,JhaMamidi
839841111136849920,,True,benevolent,,JhaMamidi
839573742632198144,,True,benevolent,,JhaMamidi
847255854130671618,,True,benevolent,,JhaMamidi
839608161828995072,,True,benevolent,,JhaMamidi
839881644085411840,,True,benevolent,,JhaMamidi
837982543324459009,,True,benevolent,,JhaMamidi
847532308546695168,,True,benevolent,,JhaMamidi
839351473129549824,,True,benevolent,,JhaMamidi
839839235624550400,"RT @theCandidDiva: Every man needs a woman When his life is a mess,Bcoz just like d game of Chess d Queen Protects d King.
#WomensDay 
#Int…",True,benevolent,,JhaMamidi
839487872029732866,,True,benevolent,,JhaMamidi
839841303429058560,"RT @SriSri: Women possess a unique combination of will,determination &amp; emotions.They can protect,support &amp; uplift the family &amp; society.Happ…",True,benevolent,,JhaMamidi
839630775666475010,,True,benevolent,,JhaMamidi
839930718977413120,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839630858466308096,,True,benevolent,,JhaMamidi
840027618304917504,,True,benevolent,,JhaMamidi
839867754610114561,,True,benevolent,,JhaMamidi
839857723021934592,,True,benevolent,,JhaMamidi
839668656502104065,"RT @mikandynothem: My wife is going to work today beacause she is NO lazy liberal woman looking for a day off! 
#adaywithoutwomen #MAGA htt…",True,benevolent,,JhaMamidi
839885405243736065,,True,benevolent,,JhaMamidi
839669291725254656,,True,benevolent,,JhaMamidi
839920175927406592,,True,benevolent,,JhaMamidi
839730003428409345,,True,benevolent,,JhaMamidi
839760798176198656,,True,benevolent,,JhaMamidi
839591483632140288,,True,benevolent,,JhaMamidi
839841463555002368,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839594379237027859,RT @girlsreallyrule: The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without. #adaywithoutwomen #Ligh…,True,benevolent,,JhaMamidi
839899642322116609,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839573566026878978,RT @XavierSociety: Our library has many books on our Holy Mother. Imagine how different the world would be w/o her. #ADayWithoutWomen #Inte…,True,benevolent,,JhaMamidi
839858193979277316,,True,benevolent,,JhaMamidi
837646711224836096,,True,benevolent,,JhaMamidi
839851033417433088,"RT @singleinthecity: Happy #InternationalWomensDay.Thanks to women everywhere for all you do to help create a wiser, stronger, kinder &amp; hap…",True,benevolent,,JhaMamidi
847263109219729414,,True,benevolent,,JhaMamidi
839611022184960001,,True,benevolent,,JhaMamidi
847660856515076096,,True,benevolent,,JhaMamidi
847590627650961410,,True,benevolent,,JhaMamidi
839643643094822912,,True,benevolent,,JhaMamidi
839874592734851073,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
846955434149904384,,True,benevolent,,JhaMamidi
839602066855186432,,True,benevolent,,JhaMamidi
839630773187710976,,True,benevolent,,JhaMamidi
839908335168147456,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
846939683594526720,,True,benevolent,,JhaMamidi
839868169078640640,,True,benevolent,,JhaMamidi
839663396106592256,,True,benevolent,,JhaMamidi
839622584522141701,,True,benevolent,,JhaMamidi
839869818819989504,"RT @GemmaAnneStyles: Happy #womensday to all my sassy women, classy women, nasty women 💋👧🏾💖👩🏼‍🔬👄👵🏼 my fine women, alive women, gonna fight…",True,benevolent,,JhaMamidi
839630804212908034,,True,benevolent,,JhaMamidi
839609368832172032,RT @girlsreallyrule: The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without. #adaywithoutwomen #Ligh…,True,benevolent,,JhaMamidi
839630804212908033,,True,benevolent,,JhaMamidi
839574283512840196,,True,benevolent,,JhaMamidi
839630793035108354,,True,benevolent,,JhaMamidi
839581202348716032,,True,benevolent,,JhaMamidi
839899564203098112,,True,benevolent,,JhaMamidi
839630831832399874,,True,benevolent,,JhaMamidi
839946769484099584,,True,benevolent,,JhaMamidi
847433340974018561,,True,benevolent,,JhaMamidi
839630792204685312,,True,benevolent,,JhaMamidi
